Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jun-14,254,monthly,94.79,01/06/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jun-14,511,monthly,93.3,01/06/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jul-14,209,monthly,91.76,01/07/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jul-14,516,monthly,95.04,01/07/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jul-14,382,monthly,95.45,01/07/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jul-14,281,monthly,95.56,01/07/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jul-14,587,monthly,95.77,01/07/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Aug-14,202,monthly,93.14,01/08/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Aug-14,465,monthly,96.76,01/08/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Aug-14,377,monthly,97.49,01/08/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Aug-14,248,monthly,96.14,01/08/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Aug-14,618,monthly,97.14,01/08/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Sep-14,185,monthly,95.61,01/09/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Sep-14,432,monthly,97.69,01/09/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Sep-14,342,monthly,98.8,01/09/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Sep-14,255,monthly,97.89,01/09/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Sep-14,490,monthly,99.18,01/09/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Oct-14,237,monthly,97.2,01/10/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Oct-14,451,monthly,97.76,01/10/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Oct-14,353,monthly,98.67,01/10/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Oct-14,263,monthly,97.02,01/10/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Oct-14,578,monthly,99.78,01/10/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Nov-14,201,monthly,98.44,01/11/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Nov-14,376,monthly,97.21,01/11/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Nov-14,324,monthly,99.54,01/11/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Nov-14,234,monthly,97.64,01/11/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Nov-14,429,monthly,100.42,01/11/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Dec-14,299,monthly,99.19,01/12/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Dec-14,397,monthly,97.66,01/12/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Dec-14,358,monthly,100.09,01/12/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Dec-14,246,monthly,99.22,01/12/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Dec-14,501,monthly,100.01,01/12/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jan-15,204,monthly,100,01/01/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jan-15,353,monthly,100,01/01/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jan-15,278,monthly,100,01/01/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jan-15,199,monthly,100,01/01/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jan-15,418,monthly,100,01/01/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Feb-15,184,monthly,101.29,01/02/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Feb-15,378,monthly,102.16,01/02/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Feb-15,244,monthly,99.83,01/02/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Feb-15,196,monthly,99.51,01/02/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Feb-15,402,monthly,99.36,01/02/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Mar-15,183,monthly,101.07,01/03/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Mar-15,421,monthly,102.57,01/03/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Mar-15,261,monthly,99.75,01/03/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Mar-15,248,monthly,100.24,01/03/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Mar-15,410,monthly,99.22,01/03/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Apr-15,162,monthly,100.96,01/04/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Apr-15,325,monthly,102.31,01/04/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Apr-15,281,monthly,100.04,01/04/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Apr-15,207,monthly,101.65,01/04/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Apr-15,463,monthly,99.35,01/04/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,May-15,167,monthly,100.8,01/05/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,May-15,375,monthly,101.03,01/05/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,May-15,343,monthly,101.05,01/05/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,May-15,176,monthly,104.08,01/05/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,May-15,516,monthly,101.14,01/05/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jun-15,218,monthly,103.4,01/06/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jun-15,449,monthly,102.59,01/06/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jun-15,390,monthly,102.16,01/06/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jun-15,341,monthly,103.08,01/06/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jun-15,475,monthly,102.52,01/06/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jul-15,200,monthly,107.1,01/07/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jul-15,470,monthly,101.92,01/07/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jul-15,425,monthly,105.19,01/07/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jul-15,404,monthly,103.68,01/07/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jul-15,649,monthly,103.07,01/07/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Aug-15,185,monthly,109.84,01/08/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Aug-15,416,monthly,103.77,01/08/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Aug-15,355,monthly,107.11,01/08/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Aug-15,325,monthly,104.83,01/08/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Aug-15,548,monthly,104.4,01/08/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Sep-15,209,monthly,110.64,01/09/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Sep-15,440,monthly,105.01,01/09/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Sep-15,342,monthly,109.37,01/09/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Sep-15,342,monthly,106.36,01/09/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Sep-15,539,monthly,105.63,01/09/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Oct-15,235,monthly,110.66,01/10/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Oct-15,547,monthly,106.66,01/10/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Oct-15,374,monthly,109.34,01/10/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Oct-15,249,monthly,109.2,01/10/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Oct-15,601,monthly,107.77,01/10/2015
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Nov-15,221,monthly,112.22,01/11/2015
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Nov-15,506,monthly,108.34,01/11/2015
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Nov-15,331,monthly,110.3,01/11/2015
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Nov-15,237,monthly,107.68,01/11/2015
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Nov-15,503,monthly,108.56,01/11/2015
